CSHT_QNM_00192,SBM Power 25KVA 3P,EMERSON PS48300-3B/2900-X1,NETSURE 731 A41,Narada 2V-500Ah,Posmax 2V-300Ah
CSHT_QNM_00193,KUBOTA 8 KVA 1P,EMERSON PS48300-3B/2900,0,K&V 12V-200Ah,0
CSHT_QNM_00194,KAMA 5KVA 1P,EMERSON PS48300-3B/2900-X1,0,K&V 12V-150AH,0
CSHT_QNM_00195,VIETGEN 16KVA 3P,EMERSON PS48100-2A/25,NETSURE 731 A41,Posmax 2V-300Ah,Posmax 12V-200Ah
CSHT_QNM_00196,KUBOTA 8 KVA 1P,EMERSON PS48300-3B/2900-X1,0,Narada 2V-500Ah,0
CSHT_QNM_00197,HOATHANG 10KVA 1P,EMERSON PS48300-3B/2900,EMERSON PS48300-3B/2900,Posmax 2V-300Ah,0
CSHT_QNM_00198,KAMA 5KVA 1P,NETSURE 731 A41,0,GFM 2V-400AH,0
CSHT_QNM_00199,HOATHANG 10KVA 1P,NETSURE 731 A41,NETSURE 731 A41,Narada 2V-500Ah,0
CSHT_QNM_00200,Misubishi 30KVA 3P,EMERSON PS48300-3B/2900,EMERSON PS48300-3B/2900-X1,Narada 2V-500Ah,Posmax 2V-300Ah
CSHT_QNM_00201,HOATHANG 10KVA 1P,NETSURE 731 A41,0,Posmax 2V-300Ah,0
CSHT_QNM_00202,HUYNDAI 5KVA 1P,EMERSON PS48300-3B/2900-X1,0,Posmax 12V-150Ah,0
CSHT_QNM_00203,HOATHANG 10KVA 1P,EMERSON PS48300-3B/2900-X1,NETSURE 731 A41,Leoch 2V-300Ah,Posmax 2V-300Ah
CSHT_QNM_00204,KAMA 5KVA 1P,EMERSON PS48300-3B/2900,0,Narada 2V-500Ah,0
CSHT_QNM_00205,KAMA 5KVA 1P,NETSURE 731 A41,0,Shoto 2V-200Ah,0
CSHT_QNM_00206,VIETGEN 16KVA 1P,EMERSON PS48300-3B/2900-X1,NETSURE 731 A41,Posmax 2V-300Ah,Vision 12v-200Ah
CSHT_QNM_00207,KAMA 15KVA 1P,NETSURE 731 A41,NETSURE 731 A41,K&V 12V-150AH,Posmax 12V-150Ah
CSHT_QNM_00208,KAMA 5KVA 1P,EMERSON PS48100-2A/25,NETSURE 731 A41,Narada 2V-500Ah,0
CSHT_QNM_00209,HOATHANG 10KVA 1P,ZTE,0,Posmax 12V-150Ah,0
CSHT_QNM_00210,SDMO 22KVA 3P,NETSURE 731 A41,EMERSON PS48300-3B/2900,Posmax 2V-300Ah,Posmax 2V- 400Ah
CSHT_QNM_00211,HOATHANG 10KVA 1P,NETSURE 731 A41,0,Posmax 12V-200Ah,Vision 12V-150Ah
CSHT_QNM_00212,HOATHANG 10KVA 1P,EMERSON PS48300-3B/2900,0,Narada 2V-500Ah,0
CSHT_QNM_00213,KAMA 5KVA 1P,EMERSON PS48300-3B/2900-X1,0,Posmax 2V-300Ah,0
CSHT_QNM_00214,HUYNDAI 5KVA 1P,EMERSON PS48150-3B/1800,0,Vision 12v-200Ah,0
CSHT_QNM_00215,HTGEN 18KVA 1P,EMERSON PS48300-3B/2900,MPR-25,Leoch 12V-200Ah,Shoto 2V-300Ah
CSHT_QNM_00216,KAMA 10KVA 1P,EMERSON PS48300-3B/2900,NETSURE 731 A41,Narada 2V-500Ah,0
CSHT_QNM_00217,KUBOTA 8 KVA 1P,NETSURE 731 A41,0,Posmax 2V-300Ah,0
CSHT_QNM_00218,KAMA 5KVA 1P,ZTE,NETSURE 731 A41,Posmax 2V- 400Ah,0
CSHT_QNM_00219,KAMA 20KVA 3P,EMERSON PS48300-3B/2900-X1,MPR-25,Posmax 12V-200Ah,Shoto 12V-200Ah
CSHT_QNM_00220,SDMO 22KVA 3P,EMERSON PS48300-3B/2900,AGISION,Posmax 2V-300Ah,Vision 2V-400Ah
CSHT_QNM_00221,VIETGEN 16KVA 3P,EMERSON PS48300-3B/2900-X1,0,Narada 2V-260AH,0
CSHT_QNM_00222,SDMO 22KVA 3P,EMERSON PS48300-3B/2900,NETSURE 731 A41,Posmax 12V-150Ah,Posmax 2V-300Ah
CSHT_QNM_00223,SDMO 22KVA 3P,EMERSON PS48300-3B/2900-X1,NETSURE 731 A41,Posmax 2V-300Ah,Shoto 12V-200Ah
CSHT_QNM_00224,KAMA 5KVA 1P,ZTE,0,Haze 2V-300AH,0
CSHT_QNM_00225,SDMO 22KVA 3P,ZTE,MPR-25,Shoto 2V-200Ah,0
CSHT_QNM_00226,KAMA 50KVA 3P,EMERSON PS48300-3B/2900-X1,EMERSON PS48300-3B/2900,Posmax 2V-300Ah,Posmax 2V-300Ah
CSHT_QNM_00227,KAMA 5KVA 1P,ZTE,NETSURE 731 A41,Posmax 12V-200Ah,0
CSHT_QNM_00228,SDMO 22KVA 3P,EMERSON PS48300-3B/2900,ZTE,Posmax 12V-150Ah,K&V 2V-400Ah
